actual,predicted,error,abs_error
2466405.0799999987,192883.35905826616,2273521.7209417326,2273521.7209417326
2845109.9099999983,778587.7703013759,2066522.1396986223,2066522.1396986223
2290173.539999999,226570.84430597778,2063602.6956940214,2063602.6956940214
2566009.8799999994,606201.8899472455,1959807.990052754,1959807.990052754
1977082.1800000009,203575.5856798913,1773506.5943201096,1773506.5943201096
2293346.140000001,550221.2442483724,1743124.8957516286,1743124.8957516286
2133941.0999999996,497588.19607756217,1636352.9039224375,1636352.9039224375
1809189.610000001,236665.7723421588,1572523.8376578423,1572523.8376578423
2619076.830000001,1083090.5121069485,1535986.3178930525,1535986.3178930525
2162291.220000002,699056.7033901536,1463234.5166098485,1463234.5166098485
1534427.1299999985,75132.4374282862,1459294.6925717122,1459294.6925717122
2161343.0200000014,703368.9406805248,1457974.0793194766,1457974.0793194766
1603904.6500000004,182951.15554796878,1420953.4944520316,1420953.4944520316
2055465.899999999,675157.3882291476,1380308.5117708514,1380308.5117708514
1632540.260000001,257280.43466948436,1375259.8253305166,1375259.8253305166
2988275.0999999978,1681025.7321846264,1307249.3678153714,1307249.3678153714
1711947.1600000004,410731.1047119918,1301216.0552880086,1301216.0552880086
1532869.8999999987,256806.5151917473,1276063.3848082514,1276063.3848082514
1751942.4500000007,495543.5871250277,1256398.8628749729,1256398.8628749729
1870406.1500000013,633225.8025773091,1237180.3474226922,1237180.3474226922
1939077.2799999998,706464.9215810952,1232612.3584189047,1232612.3584189047
1962261.099999999,767569.1151790172,1194691.9848209817,1194691.9848209817
2277763.5400000005,1105192.0891504663,1172571.4508495342,1172571.4508495342
1853808.3700000008,683601.7653909093,1170206.6046090915,1170206.6046090915
1808136.1800000009,641908.0731629255,1166228.1068370752,1166228.1068370752
1706137.5300000012,578533.7040360612,1127603.82596394,1127603.82596394
1670911.9800000002,545417.8122149414,1125494.1677850587,1125494.1677850587
1574990.0899999996,453141.2327899397,1121848.8572100599,1121848.8572100599
1283420.2400000002,173407.9711993829,1110012.2688006172,1110012.2688006172
1252397.19,142941.3768196615,1109455.8131803384,1109455.8131803384
1835474.84,732826.8145392771,1102648.0254607229,1102648.0254607229
1346765.1699999995,251803.71505923252,1094961.454940767,1094961.454940767
1595407.0499999993,509129.3726706859,1086277.6773293135,1086277.6773293135
1773109.0000000016,729186.5843532286,1043922.4156467731,1043922.4156467731
1749718.2200000011,708569.2158983817,1041149.0041016195,1041149.0041016195
1564959.7200000011,535651.9527031145,1029307.7672968867,1029307.7672968867
1543965.5700000012,515963.3313475305,1028002.2386524708,1028002.2386524708
1642159.0400000007,616744.4391704823,1025414.6008295184,1025414.6008295184
2467818.7600000002,1454017.8982202895,1013800.8617797107,1013800.8617797107
1699461.5899999994,686635.986181286,1012825.6038187133,1012825.6038187133
1698558.8999999987,692453.1940223619,1006105.7059776369,1006105.7059776369
1641503.6799999997,646967.1647572927,994536.515242707,994536.515242707
1405579.2199999995,416145.17408510565,989434.0459148939,989434.0459148939
1916672.9999999984,948056.755767524,968616.2442324744,968616.2442324744
1502390.3200000003,537586.9696331078,964803.3503668925,964803.3503668925
1990113.8599999999,1025618.0378968841,964495.8221031157,964495.8221031157
1484689.51,520856.1206650839,963833.3893349161,963833.3893349161
1442897.2199999988,491820.74923078023,951076.4707692186,951076.4707692186
1599396.7800000003,648497.5522697776,950899.2277302226,950899.2277302226
1854217.01,905192.9430815459,949024.0669184541,949024.0669184541
